amigo1,amigo2
Jacquette,Clementia
Susi,Cordi
Jaquenetta,Valerie
Doralia,Anthiathia
Miner,Sarene
Minnnie,Susi
Robyn,Adrien
Eduino,Ginger
Tony,Briant
Edin,Ginnifer
Prent,Jan
Juditha,Doralia
Estevan,Virgil
Constantino,Winona
Minnnie,Gleda
Tedmund,Milly
Waylen,Kristoforo
Jan,Lyell
Prent,Ricardo
Arabela,Hodgex
Hodgex,Chen
Dewie,Ricardo
Idell,Sayre
Shalna,Cordi
Tony,Drud
Agathe,Marrilee
Hayley,Carmelle
Case,Cordi
Doralia,Matthiew
Marrilee,Shalna
Shirlee,Tony
Renate,Virgil
Eimile,Anna
Ricardo,Minnnie
Denna,Jan
Winona,Tony
Kerby,Cordi
Louisette,Adrien
Velma,Dotti
Anna,Clementia
Cordelie,Shalna
Melisa,Drud
Marrilee,Case
Leilah,Valerie
Barbaraanne,Doralia
Prent,Lyell
Carmelle,Jolynn
Virgilio,Teri
Virgilio,Estevan
Kerby,Skippy
Clementia,Briant
Dotti,Kristoforo
Bruce,Cordi
Teri,Mariellen
Clementia,Virgil
Teri,Skippy
Adrien,Virgil
Candide,Ginger
Anthiathia,Winona
Sayre,Cordelie
Christin,Bruce
Shalna,Eimile
Jewelle,Barbaraanne
Reta,Skippy
Jacquette,Vernon
Renate,Hodgex
Clementia,Case
Doralia,Briant
Tillie,Roth
Case,Jewelle
Hodgex,Waylen
Juditha,Kerby
Ginger,Adriena
Valerie,Dotti
Agathe,Valerie
Doralia,Carline
Brocky,Hewe
Jaquenetta,Wilhelm
Malissa,Jacquette
Annabell,Denna
Leilah,Constantino
Vernon,Barbaraanne
Kristoforo,Candide
Bernie,Clementia
Haley,Denna
Montague,Delaney
Hayley,Ricardo
Stearn,Case
Wilhelm,Jolynn
Virgil,Winona
Keslie,Anna
Sarene,Bruce
Gwen,Case
Ginnifer,Francklin
Doralia,Winona
Briant,Jewelle
Kristoforo,Susannah
Adrien,Ginger
Milly,Shirlee
Virgilio,Melisa
Matthiew,Milly
Anna,Tillie
Estevan,Winona
Constantino,Case
Hodgex,Gwen
Prent,Robyn
Barbaraanne,Miner
Hodgex,Constantino
Virgil,Beale
Kristoforo,Carline
Ginger,Clementia
Sarene,Valerie
Kerby,Denna
Jewelle,Briant
Minnnie,Winona
Jewelle,Ginger
Haley,Winona
Minnnie,Doralia
Gav,Christin
Briant,Gwen
Virgil,Corette
Skippy,Christin
Skippy,Brocky
Annabell,Sarene
Milly,Delaney
Sayre,Tillie
Velma,Chen
Montague,Francklin
